id,data,hora,temp_0_0,temp_0_1,temp_0_2,temp_0_3,temp_0_4,temp_0_5,temp_0_6,temp_0_7,temp_1_0,temp_1_1,temp_1_2,temp_1_3,temp_1_4,temp_1_5,temp_1_6,temp_1_7,temp_2_0,temp_2_1,temp_2_2,temp_2_3,temp_2_4,temp_2_5,temp_2_6,temp_2_7,temp_3_0,temp_3_1,temp_3_2,temp_3_3,temp_3_4,temp_3_5,temp_3_6,temp_3_7,temp_4_0,temp_4_1,temp_4_2,temp_4_3,temp_4_4,temp_4_5,temp_4_6,temp_4_7,temp_5_0,temp_5_1,temp_5_2,temp_5_3,temp_5_4,temp_5_5,temp_5_6,temp_5_7,temp_6_0,temp_6_1,temp_6_2,temp_6_3,temp_6_4,temp_6_5,temp_6_6,temp_6_7,temp_7_0,temp_7_1,temp_7_2,temp_7_3,temp_7_4,temp_7_5,temp_7_6,temp_7_7
1,2024-06-02,19:40:35,24,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,25,25,26,26,25,26,25,26,25,26,25,26,26,25,26,26,26,25,26,26,26,26,26,28,26,26,26,25,25,25,25,26,26,26,25,25,26,26,25,25,25,25,25,26,26,26
2,2024-06-02,19:40:35,24,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,26,25,25,26,26,25,26,25,26,25,26,25,26,26,25,26,26,26,25,26,26,26,26,26,28,26,26,26,25,25,25,25,26,26,26,25,25,26,26,25,25,25,25,25,26,26,26
3,2024-06-02,19:43:46,31,31,31,31,31,32,31,31,31,31,31,31,31,31,32,31,31,32,31,31,31,31,31,31,31,31,32,31,31,31,31,31,30,29,31,30,30,30,31,29,30,30,30,30,31,31,31,28,30,30,31,31,31,31,29,27,30,30,30,30,31,29,28,26
4,2024-06-02,19:43:55,24,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,27,26,26,26,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25
5,2024-06-02,19:44:05,24,25,25,25,26,26,25,25,25,25,26,26,25,25,26,25,26,26,26,26,26,26,26,26,25,26,25,26,26,25,26,26,25,26,26,26,25,26,25,26,26,28,26,26,26,26,25,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
6,2024-06-02,19:46:45,24,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,26,25,28,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
7,2024-06-02,19:46:58,25,25,25,25,25,25,25,25,25,26,25,25,25,26,26,25,25,26,26,25,26,26,26,26,25,25,26,26,26,26,26,26,26,25,26,26,25,26,25,26,26,28,26,26,26,26,25,26,25,26,26,26,25,25,25,26,26,25,25,26,25,26,26,26
8,2024-06-02,19:47:25,24,25,25,24,25,25,24,25,24,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,24,26,25,25,25,25,25,25,25,24,25,25,27,25,25,25,25,25,25,25,25,25,25,25,25,25,26,24,24,26,25,24,25,25,25
9,2024-06-02,19:48:25,24,25,26,25,25,25,25,25,25,25,26,25,25,25,26,25,25,25,25,26,25,25,25,26,25,25,25,25,26,25,26,25,26,25,26,26,25,26,26,26,25,28,26,26,26,26,26,25,26,26,26,25,25,25,26,26,25,25,25,25,25,26,26,26
10,2024-06-02,19:50:48,30,31,31,31,32,31,31,32,30,31,31,31,31,31,32,32,31,31,31,31,31,31,31,31,30,31,31,31,31,31,32,32,31,31,31,31,31,31,32,32,30,31,31,31,31,32,31,32,31,31,31,31,31,31,32,32,31,31,31,32,31,32,32,32
11,2024-06-02,19:50:56,37,37,37,37,37,37,37,38,39,38,38,37,37,37,37,38,40,39,38,38,38,38,38,38,40,39,38,38,38,38,38,38,40,39,39,39,39,39,38,38,41,39,41,39,39,38,38,38,40,38,38,38,38,38,38,39,40,37,37,38,37,37,37,38
12,2024-06-02,19:51:07,25,26,26,26,26,26,26,26,25,26,26,26,26,25,26,26,26,26,26,26,26,26,26,27,26,26,25,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,28,27,26,26,26,26,26,26,26,27,25,26,26,27,25,26,26,26,25,27,26,26
13,2024-06-02,19:51:25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,26,25,26,26,26,25,26,26,25,25,25,25,25,25,26,26,25,25,26,25,25,26,26,25,25,26,28,26,26,26,25,26,25,26,26,25,25,25,26,26,25,25,26,26,25,26,25,26
